insect_ID,time,ID,sex,body_weight_mg,LFW_mg,LHW_mg,RFW_mg,RHW_mg
H1,5,buff,M,0.905,0.0161,0.0128,NaN,NaN
H2,5,buff,NaN,NaN,0.0249,0.0279,0.0205,0.0244
H3,5,buff,NaN,NaN,0.0341,0.0316,0.0309,0.0297
H5,15,NaN,M,0.9377,0.0338,0.045,0.0326,0.0513
H6,15,NaN,F,1.0795,0.0453,0.0492,0.0407,0.0521
H7,10,buff,F,1.1531,0.0398,0.0303,0.0415,0.0487
H8,10,buff,F,1.0323,0.0406,0.0387,0.0487,0.0348
H9,5,buff,M,0.8545,0.03,0.0331,0.0233,0.0261
H10,10,buff,F,1.1083,0.0525,0.051,NaN,0.0408
H11,15,NaN,F,1.1123,0.0525,0.0762,0.054,0.078
H12,15,buff,F,1.1389,0.0416,0.054,0.0475,0.0579
H13,15,NaN,M,0.7973,0.0358,0.0479,0.0325,0.0465
H14,5,di,F,1.1363,0.0282,0.0334,0.0299,0.034
H15,5,di,F,1.1837,0.0359,0.0359,0.038,0.0426
H16,10,di,M,0.7752,0.0224,0.0293,NaN,NaN
H17,10,di,F,1.1217,0.0329,0.0298,0.039,NaN
H18,15,di,F,1.0941,0.0431,0.044,0.0407,0.044
H19,20,di,F,1.1573,0.049,0.0915,0.0504,0.072
H20,20,di,M,0.8552,0.03,0.0501,0.0352,0.0486
H21,15,di,F,1.0764,0.0368,0.0455,0.0387,0.0432
H22,20,di,M,0.8447,0.0346,0.0492,0.028,0.0508
H23,5,mo,F,0.953,0.0233,0.0269,0.0242,0.0246
H24,10,mo,M,0.8861,0.0481,0.0624,NaN,0.0546
H25,5,mo,M,0.8441,0.0219,0.0227,0.0188,0.0254
H26,10,mo,M,0.8581,0.034,0.0402,0.038,0.042
H27,15,buff,M,0.843,0.0387,0.0459,0.031,0.0431
H28,15,buff,M,0.7103,0.0318,0.0431,0.033,0.0435
H29,10,buff,F,1.1983,0.0452,0.0596,0.0426,0.0535
H30,5,buff,M,0.7911,0.0225,0.0237,0.0246,0.0255
H31,5,buff,F,1.2331,0.0422,0.0489,0.0402,0.041
