ID,dissection_time,treatment,frame,seconds,time (min),time2,fw length (mm),hw length (mm),fw area,hw area
H2,5,buff,1,5,0.1,5.1,26.921,19.181,70.659,76.962
,,,20,100,1.7,6.7,25.408,18.745,67.991,76.337
,,,40,200,3.3,8.3,26.009,18.814,71.227,76.167
,,,60,300,5.0,10.0,24.625,18.884,69.865,76.224
,,,80,400,6.7,11.7,25.86,18.961,73.442,78.466
,,,100,500,8.3,13.3,26.11,19.047,77.217,74.094
,,,120,600,10.0,15.0,25.94,18.958,71.909,77.984
,,,140,700,11.7,16.7,26.812,18.708,71.965,78.75
,,,160,800,13.3,18.3,27.127,19.44,73.64,76.763
,,,180,900,15.0,20.0,27.672,20.207,83.661,84.428
,,,202,1010,16.8,21.8,29.26,19.62,83.037,NaN
,,,220,1100,18.3,23.3,29.748,20.407,88.09,82.526
,,,240,1200,20.0,25.0,30.684,20.871,90.843,81.099
,,,260,1300,21.7,26.7,30.845,21.698,88.854,87.153
,,,280,1400,23.3,28.3,30.596,21.238,100.415,85.164
,,,300,1500,25.0,30.0,31.463,21.3,104.697,87.759
H3,5,buff,1,10,0.2,5.2,25.778,16.558,124.585,90.422
,,,20,200,3.3,8.3,25.164,16.982,128.239,89.09
,,,40,400,6.7,11.7,25.453,16.404,124.811,90.847
,,,60,600,10.0,15.0,25.824,17.534,125.293,91.951
,,,80,800,13.3,18.3,28.773,17.912,135.321,90.96
,,,100,1000,16.7,21.7,30.36,19.713,141.865,102.744
,,,120,1200,20.0,25.0,31.612,20.33,147.955,98.438
,,,140,1400,23.3,28.3,31.643,20.552,158.805,104.501
,,,160,1600,26.7,31.7,31.836,21.209,157.813,103.622
,,,180,1800,30.0,35.0,33.306,21.767,163.167,112.064
H5,15,buff,1,10,0.2,15.2,30.305,23.097,176.016,318.116
,,,20,200,3.3,18.3,31.396,22.858,194.445,330.686
,,,40,400,6.7,21.7,33.497,23.136,198.049,341.937
,,,60,600,10.0,25.0,33.953,23.294,217.248,330.989
,,,80,800,13.3,28.3,33.849,23.658,203.578,336.93
,,,100,1000,16.7,31.7,35.543,23.93,215.571,343.422
,,,120,1200,20.0,35.0,34.092,23.789,210.482,336.683
,,,140,1400,23.3,38.3,35.133,23.523,214.003,351.426
H6,15,buff,1,10,0.2,15.2,28.166,24.32,169.702,239.77
,,,20,200,3.3,18.3,29.084,24.682,182.139,232.886
,,,40,400,6.7,21.7,30.9,24.285,189.301,237.216
,,,60,600,10.0,25.0,31.925,25.305,200.711,248.959
,,,80,800,13.3,28.3,31.812,27.527,204.181,255.733
,,,100,1000,16.7,31.7,34.219,27.866,222.781,274.916
,,,120,1200,20.0,35.0,35.316,30.545,217.367,285.826
,,,140,1400,23.3,38.3,36.092,31.863,231.137,288.824
,,,161,1610,26.8,41.8,36.384,32.161,236.883,300.067
,,,180,1800,30.0,45.0,36.226,32.138,242.324,287.908
,,,200,2000,33.3,48.3,36.429,32.464,232.025,304.092
H7,10,buff,1,10,0.2,10.2,26.64,20.782,155.993,256.19
,,,21,210,3.5,13.5,26.651,21.695,159.033,260.435
,,,41,410,6.8,16.8,26.932,22.236,163.032,261.394
,,,61,610,10.2,20.2,26.758,22.948,166.429,272.981
,,,81,810,13.5,23.5,30.247,23.16,183.959,279.253
,,,101,1010,16.8,26.8,31.232,24.045,191.464,271.529
,,,121,1210,20.2,30.2,35.699,27.13,191.464,286.512
,,,141,1410,23.5,33.5,33.234,24.043,189.273,281.061
,,,161,1610,26.8,36.8,32.561,23.764,189.711,286.786
,,,181,1810,30.2,40.2,33.167,25.19,187.137,288.046
,,,201,2010,33.5,43.5,31.91,24.547,190.834,289.744
H8,10,buff,1,10,0.2,10.2,27.438,22.845,160.378,287.27
,,,20,200,3.3,13.3,29.293,25.482,179.874,322.986
,,,40,400,6.7,16.7,30.093,26.604,181.967,327.97
,,,60,600,10.0,20.0,29.337,27.164,179.241,332.046
,,,80,800,13.3,23.3,31.447,28.136,184.666,343.418
,,,100,1000,16.7,26.7,32.139,28.233,185.354,346.503
,,,120,1200,20.0,30.0,31.763,28.176,184.5,353.029
,,,140,1400,23.3,33.3,31.869,28.775,192.459,352.313
,,,160,1600,26.7,36.7,31.775,29.091,186.345,354.048
H12,20,buff,1,20,0.3,20.3,33.089,24.954,212.478,380.071
,,,10,200,3.3,23.3,33.726,25.112,230.157,384.697
,,,19,380,6.3,26.3,34.25,24.364,236.096,388.222
,,,30,600,10.0,30.0,34.259,25.848,228.12,398.548
,,,40,800,13.3,33.3,38.459,28.488,257.116,425.397
,,,50,1000,16.7,36.7,37.914,29.772,260.806,425.094
,,,60,1200,20.0,40.0,38.019,29.407,252.986,429.996
,,,70,1400,23.3,43.3,38.811,29.759,258.245,433.576
,,,79,1580,26.3,46.3,38.798,29.078,255.932,436.688
,,,89,1780,29.7,49.7,39.482,29.315,256.07,438.615
,,,99,1980,33.0,53.0,38.172,28.586,255.657,430.409
H27,15,buff,1,20,0.3,15.3,28.899,20.615,162.946,224.123
,,,20,400,6.7,21.7,30.053,20.585,169.113,241.793
,,,40,800,13.3,28.3,36.421,21.229,182.644,250.814
,,,60,1200,20.0,35.0,36.421,22.573,192.721,261.634
,,,80,1600,26.7,41.7,38.568,24.688,196.232,275.279
,,,100,2000,33.3,48.3,41.016,24.407,252.27,275.079
,,,120,2400,40.0,55.0,42.255,25.343,250.443,280.732
,,,138,2760,46.0,61.0,41.217,24.712,248.531,263.775
