ID,dissection_time,treatment,frame,seconds,time (min),time2,fw length (mm),hw length (mm),fw area,hw area
H14,5,diwater,1,20,0.3,5.3,25.192,21.523,93.716,138.042
,,,10,200,3.3,8.3,24.184,21.716,96.059,143.51
,,,20,400,6.7,11.7,24.747,21.76,94.989,145.854
,,,30,600,10.0,15.0,24.963,22.477,92.761,145.68
,,,40,800,13.3,18.3,24.558,22.357,97.766,148.603
,,,50,1000,16.7,21.7,24.99,22.776,100.226,150.339
,,,61,1220,20.3,25.3,27.295,23.295,108.067,151.091
,,,71,1420,23.7,28.7,26.902,23.294,111.741,146.346
,,,81,1620,27.0,32.0,29.498,23.706,124.096,153.492
,,,91,1820,30.3,35.3,30.391,23.417,121.058,154.65
,,,105,2100,35.0,40.0,33.51,24.925,134.686,160.436
,,,115,2300,38.3,43.3,33.436,25.354,137.897,163.851
,,,125,2500,41.7,46.7,33.395,25.302,142.874,168.943
,,,140,2800,46.7,51.7,34.894,25.959,142.179,170.968
,,,155,3100,51.7,56.7,34.843,27.382,154.997,177.044
H15,5,diwater,1,20,0.3,5.3,29.681,23.152,165.297,174.209
,,,11,220,3.7,8.7,30.091,23.152,172.415,177.073
,,,21,420,7.0,12.0,30.135,23.236,183.786,175.713
,,,31,620,10.3,15.3,31.133,24.038,189.862,180.343
,,,41,820,13.7,18.7,33.156,24.826,201.204,187.171
,,,51,1020,17.0,22.0,34.117,25.633,203.547,189.804
,,,61,1220,20.3,25.3,35.643,26.868,218.275,194.144
,,,72,1440,24.0,29.0,37.607,27.698,228.141,197.963
,,,82,1640,27.3,32.3,38.647,28.961,229.096,202.853
,,,92,1840,30.7,35.7,39.872,30.039,234.738,203.866
,,,102,2040,34.0,39.0,40.883,30.978,236.242,213.529
,,,112,2240,37.3,42.3,41.425,31.594,236.937,215.265
H16,10,diwater,1,20,0.3,10.3,24.222,20.858,112.233,150.194
,,,12,240,4.0,14.0,25.733,20.991,120.884,166.57
,,,23,460,7.7,17.7,26.145,21.044,119.901,170.679
,,,33,660,11.0,21.0,25.454,20.737,123.112,169.493
,,,44,880,14.7,24.7,25.838,21.315,126.15,171.373
,,,54,1080,18.0,28.0,26.712,21.079,126.44,173.109
,,,64,1280,21.3,31.3,27.594,21.659,126.44,177.739
,,,74,1480,24.7,34.7,28.447,22.386,134.281,178.809
,,,84,1680,28.0,38.0,28.539,22.495,134.541,185.956
,,,95,1900,31.7,41.7,28.793,22.515,133.76,182.455
,,,104,2080,34.7,44.7,30.436,25.591,138.939,193.305
,,,115,2300,38.3,48.3,31.278,24.433,139.923,196.285
H17,10,diwater,1,20,0.3,10.3,27.122,18.895,144.126,155.938
,,,10,200,3.3,13.3,25.357,18.976,140.209,153.377
,,,20,400,6.7,16.7,26.435,19.216,135.417,148.585
,,,28,560,9.3,19.3,26.566,19.216,139.305,145.843
,,,40,800,13.3,23.3,26.661,19.745,148.947,152.804
,,,50,1000,16.7,26.7,26.735,20.304,145.271,149.399
,,,60,1200,20.0,30.0,30.511,20.847,169.829,155.215
,,,71,1420,23.7,33.7,33.625,22.483,180.135,164.164
,,,80,1600,26.7,36.7,35.41,23.415,189.355,171.004
,,,91,1820,30.3,40.3,37.173,24.863,197.371,176.489
,,,101,2020,33.7,43.7,38.751,25.532,199.269,181.25
,,,110,2200,36.7,46.7,39.114,25.984,202.554,189.566
,,,120,2400,40.0,50.0,39.618,26.418,204.271,198.275
H18,15,diwater,1,20,0.3,15.3,27.836,20.08,161.831,235.924
,,,11,220,3.7,18.7,29.47,21.862,187.65,291.937
,,,20,400,6.7,21.7,30.337,22.942,185.203,283.372
,,,30,600,10.0,25.0,31.452,23.256,194.105,284.473
,,,40,800,13.3,28.3,32.193,23.305,203.221,286.553
,,,50,1000,16.7,31.7,32.29,22.989,204.17,292.672
,,,61,1220,20.3,35.3,34.382,23.615,205.546,284.534
,,,71,1420,23.7,38.7,35.394,24.18,210.349,290.744
,,,80,1600,26.7,41.7,34.085,24.818,217.599,296.067
,,,90,1800,30.0,45.0,35.94,23.882,223.626,296.312
,,,101,2020,33.7,48.7,36.874,24.677,225.798,298.821
,,,125,2500,41.7,56.7,37.659,24.87,213.439,301.635
H19,20,diwater,1,20,0.3,20.3,40.93,38.073,312.935,656.613
,,,11,220,3.7,23.7,41.431,40.362,336.408,678.935
,,,21,420,7.0,27.0,42.362,41.707,341.224,681.116
,,,31,620,10.3,30.3,44.197,42.688,348.584,713.675
,,,41,820,13.7,33.7,42.265,43.497,360.245,735.846
,,,51,1020,17.0,37.0,45.001,44.188,363.728,743.748
,,,67,1340,22.3,42.3,44.42,44.988,359.882,746.75
H20,20,diwater,1,20,0.3,20.3,33.203,29.071,219.053,549.68
,,,10,200,3.3,23.3,33.876,30.875,234.612,597.214
,,,20,400,6.7,26.7,34.24,34.381,238.066,641.905
,,,30,600,10.0,30.0,35.81,37.361,253.228,663.333
,,,40,800,13.3,33.3,36.87,39.518,259.288,694.661
,,,50,1000,16.7,36.7,36.855,40.073,256.254,693.159
,,,60,1200,20.0,40.0,36.577,38.576,261.023,692.047
,,,71,1420,23.7,43.7,36.956,40.558,266.036,695.442
H21,15,diwater,1,20,0.3,15.3,30.621,23.451,177.192,292.001
,,,10,200,3.3,18.3,31.403,23.443,184.936,296.364
,,,20,400,6.7,21.7,31.799,23.921,186.872,300.452
,,,30,600,10.0,25.0,31.949,24.173,198.488,302.142
,,,40,800,13.3,28.3,33.567,24.192,217.756,314.711
,,,50,1000,16.7,31.7,36.067,24.565,232.476,307.981
,,,60,1200,20.0,35.0,39.592,26.207,244.491,306.628
,,,70,1400,23.3,38.3,40.041,27.027,250.607,307.735
,,,80,1600,26.7,41.7,41.474,26.37,248.794,318.644
,,,90,1800,30.0,45.0,40.964,27.314,258.105,327.986
,,,100,2000,33.3,48.3,42.959,28.022,257.398,327.095
,,,110,2200,36.7,51.7,44.194,30.308,269.107,324.391
,,,121,2420,40.3,55.3,43.811,28.793,277.281,325.558
H22,20,diwater,1,20,0.3,20.3,37.516,27.691,259.764,474.785
,,,11,220,3.7,23.7,38.833,29.298,270.028,474.663
,,,21,420,7.0,27.0,40.424,31.668,278.08,474.908
,,,31,620,10.3,30.3,41.334,34.597,291.325,496.297
,,,41,820,13.7,33.7,42.814,35.892,290.034,503.549
,,,51,1020,17.0,37.0,44.175,36.662,296.149,516.425
,,,61,1220,20.3,40.3,44.405,37.259,327.464,514.336
,,,71,1420,23.7,43.7,45.347,37.836,318.122,531.145
,,,81,1620,27.0,47.0,44.626,38.391,308.718,533.081
,,,89,1780,29.7,49.7,43.663,37.025,317.23,531.913
H28,15,diwater,1,20,0.3,15.3,28.207,23.577,151.195,288.359
,,,20,400,6.7,21.7,28.467,26.56,161.493,311.434
,,,40,800,13.3,28.3,33.06,28.179,180.538,333.703
,,,60,1200,20.0,35.0,37.162,32.402,197.165,360.658
,,,80,1600,26.7,41.7,40.847,36.176,203.075,371.554
,,,101,2020,33.7,48.7,40.657,35.648,210.866,381.972
,,,119,2380,39.7,54.7,38.764,35.385,202.299,386.897
H29,10,diwater,1,20,0.3,10.3,33.357,25.001,206.737,337.834
,,,21,420,7.0,17.0,33.31,26.569,214.009,337.774
,,,42,840,14.0,24.0,36.5,27.417,224.931,339.373
,,,61,1220,20.3,30.3,39.018,27.716,233.892,353.855
,,,81,1620,27.0,37.0,40.409,30.072,241.676,353.342
,,,101,2020,33.7,43.7,42.547,29.869,250.366,355.485
,,,121,2420,40.3,50.3,41.052,30.103,258.754,352.105
,,,141,2820,47.0,57.0,41.068,29.865,250.849,354.398
,,,161,3220,53.7,63.7,41.573,29.626,250.336,353.011
H30,5,diwater,1,20,0.3,5.3,22.777,16.689,94.86,79.684
,,,20,400,6.7,11.7,23.131,17.195,101.739,90.878
,,,40,800,13.3,18.3,22.172,16.738,101.89,93.865
,,,60,1200,20.0,25.0,24.169,16.874,103.972,94.589
,,,81,1620,27.0,32.0,25.438,17.347,112.601,103.037
,,,100,2000,33.3,38.3,25.967,18.222,115.709,105.481
,,,120,2400,40.0,45.0,26.425,18.745,118.093,110.188
,,,140,2800,46.7,51.7,27.531,19.667,118.002,114.864
,,,160,3200,53.3,58.3,27.118,19.431,117.338,111.153
H31,5,diwater,1,20,0.3,5.3,28.421,23.085,157.553,174.262
,,,20,400,6.7,11.7,28.138,23.09,163.544,171.074
,,,40,800,13.3,18.3,29.294,22.748,160.301,168.243
