ID,time (min),time of day,time diff,time in min,fw length (mm),hw length (mm),fwFold (mm),hwFold (mm),fw area,hw area
H19_12Nov2018,20,9:38:00,0:00:00,0,35.238,34.538,30.864,32.351,244.27,411.278
,,9:39:00,0:01:00,1,35.129,36.002,32.464,35.48,227.51,448.613
,,9:47:00,0:09:00,9,37.447,43.454,35.921,43.454,250.796,483.929
,,9:51:00,0:13:00,13,36.488,44.194,36.488,44.194,249.007,472.437
,,9:56:00,0:18:00,18,38.715,42.279,38.715,42.279,256.328,417.714
,,10:03:00,0:25:00,25,39.909,42.33,38.212,42.33,255.753,387.892
H20_12Nov2018,20,10:27:00,0:00:00,0,37.796,31.661,36.946,29.059,287.134,480.192
,,10:32:00,0:05:00,5,41.14,35.861,40.195,34.295,290.31,502.585
,,10:36:00,0:09:00,9,43.218,37.992,41.426,37.992,323.256,527.833
,,10:43:00,0:16:00,16,45.23,38.091,45.23,38.091,340.888,507.778
,,10:48:00,0:21:00,21,44.927,37.929,44.927,37.929,337.353,486.481
,,10:50:00,0:23:00,23,43.825,37.838,41.929,37.838,330.686,494.878
H22_13Nov2018,20,1:13:00,0:00:00,0,34.296,25.812,33.677,23.629,215.517,324.883
,,1:17:00,0:04:00,4,36.192,27.638,35.834,26.908,229.269,351.897
,,1:22:00,0:09:00,9,38.079,32.627,37.237,31.002,233.666,353.16
,,1:27:00,0:14:00,14,39.189,34.913,38.665,35.098,242.749,334.175
,,1:31:00,0:18:00,18,40.144,35.512,39.447,36.143,250.915,283.934
,,1:37:00,0:24:00,24,40.153,35.588,39.527,35.588,266.248,279.311
,,1:43:00,0:30:00,30,39.427,36.211,39.427,36.211,255.23,265.077
