ID,dissection_time,time (min),time2,fw length (mm),hw length (mm),fw area,hw area,
H1,5,0,5,21.277,15.576,NaN,NaN,
,,50,55,27.236,14.89,NaN,NaN,
H2,5,0,5,20.129,19.002,NaN,NaN,
,,10,15,20.097,19.242,NaN,NaN,
,,11,16,19.445,17.588,NaN,NaN,
,,21,26,21.203,19.872,NaN,NaN,
,,27,32,23.082,21.114,NaN,NaN,
,,86,91,26.12,23.086,NaN,NaN,
,,91,96,26.085,23.701,NaN,NaN,
H3,5,0,5,24.128,11.433,NaN,NaN,
,,1,6,24.376,11.638,NaN,NaN,
,,2,7,24.615,11.456,NaN,NaN,
,,8,13,29.917,13.236,NaN,NaN,
,,9,14,28.591,12.913,NaN,NaN,
,,19,24,35.476,15.955,NaN,NaN,
,,29,34,41.237,20.703,NaN,NaN,
,,45,50,39.02,18.128,NaN,NaN,
,,53,58,40.343,17.954,NaN,NaN,
,,56,61,40.998,20.677,NaN,NaN,
H5,15,0,15,28.746,22.077,NaN,NaN,
,,12,27,32.939,30.799,NaN,NaN,
,,22,37,34.067,34.025,NaN,NaN,
,,33,48,34.515,34.113,NaN,NaN,
,,44,59,32.751,33.427,NaN,NaN,
,,53,68,34.621,33.971,NaN,NaN,
H6,15,0,15,26.788,15.852,NaN,NaN,
,,10,25,31.705,24.664,NaN,NaN,
,,16,31,33.87,26.338,NaN,NaN,
,,21,36,35.854,29.466,NaN,NaN,
,,31,46,34.846,29.121,NaN,NaN,
,,41,56,38.753,32.349,NaN,NaN,
,,52,67,34.67,28.126,NaN,NaN,
,,63,78,36.135,30.364,NaN,NaN,
,,73,88,38.124,33.111,NaN,NaN,
H7,10,0,10,20.69,14.83,NaN,NaN,
,,5,15,24.628,17.415,NaN,NaN,
,,15,25,27.103,19.385,NaN,NaN,
,,25,35,31.93,24.974,NaN,NaN,
,,36,46,29.318,21.442,NaN,NaN,
,,47,57,29.812,24.242,NaN,NaN,
,,57,67,34.691,26.169,NaN,NaN,
H17,10,0,10,25.948,14.624,NaN,NaN,
,,5,15,27.238,16.411,NaN,NaN,
,,10,20,28.051,17.316,NaN,NaN,
,,15,25,31.515,18.207,NaN,NaN,
,,20,30,34.461,19.453,NaN,NaN,
,,24,34,35.834,22.037,NaN,NaN,
,,29,39,38.802,23.498,NaN,NaN,
,,35,45,40.219,25.96,NaN,NaN,
,,39,49,38.909,25.691,NaN,NaN,
,,42,52,38.819,32.566,NaN,NaN,
H18,15,0,15,28.199,18.372,148.533,NaN,
,,5,20,29.029,19.465,168.533,NaN,
,,9,24,31.667,20.864,190.833,NaN,
,,14,29,33.887,23.469,209.619,NaN,
,,19,34,36.719,26.462,232.001,NaN,
,,24,39,38.183,28.288,230.44,NaN,
,,29,44,38.815,29.895,237.268,NaN,
,,34,49,39.49,32.178,268.395,NaN,
