ID,dissection_time,treatment,frame,seconds,time (min),time2,fw length (mm),hw length (mm),fw area,hw area
H23,5,mo,1,20,0.3,5.3,19.337,17.878,73.029,125.609
,,,10,200,3.3,8.3,18.91,16.079,75.158,99.893
,,,20,400,6.7,11.7,18.872,15.336,74.822,93.338
,,,30,600,10.0,15.0,20.05,15.736,80.2,94.627
,,,40,800,13.3,18.3,21.256,16.002,91.601,106.028
,,,50,1000,16.7,21.7,24.784,16.784,117.905,111.742
,,,60,1200,20.0,25.0,28.643,17.655,152.977,123.9
,,,70,1400,23.3,28.3,30.989,22.377,182.866,151.324
,,,80,1600,26.7,31.7,32.86,25.606,185.163,183.034
,,,91,1820,30.3,35.3,32.352,26.891,189.001,197.125
,,,100,2000,33.3,38.3,32.106,27.37,191.214,191.522
,,,110,2200,36.7,41.7,33.154,26.734,179.029,191.018
,,,120,2400,40.0,45.0,31.859,26.212,185.163,192.307
,,,130,2600,43.3,48.3,32.163,27.412,181.606,190.626
H24,10,mo,1,20,0.3,10.3,34.944,26.345,210.22,514.837
,,,11,220,3.7,13.7,34.029,31.143,229.361,558.051
,,,21,420,7.0,17.0,36.768,34.162,232.51,589.062
,,,31,620,10.3,20.3,37.351,36.559,248.558,638.6
,,,41,820,13.7,23.7,36.941,36.002,236.494,611.1
,,,51,1020,17.0,27.0,38.104,36.641,246.998,609.234
,,,62,1240,20.7,30.7,37.298,36.434,245.354,600.011
,,,71,1420,23.7,33.7,37.192,36.254,249.422,604.636
H25,5,mo,1,20,0.3,5.3,18.512,16.47,74.383,98.011
,,,10,200,3.3,8.3,18.273,15.174,72.24,82.954
,,,20,400,6.7,11.7,18.326,15.05,74.326,92.316
,,,32,640,10.7,15.7,17.501,14.706,73.057,92.372
,,,41,820,13.7,18.7,17.87,14.595,74.777,97.165
,,,50,1000,16.7,21.7,19.254,15.325,77.625,102.776
,,,61,1220,20.3,25.3,19.657,15.696,89.468,123.022
,,,71,1420,23.7,28.7,23.663,19.078,108.895,140.87
,,,81,1620,27.0,32.0,25.706,21.014,126.236,164.048
,,,91,1820,30.3,35.3,27.839,25.744,132.665,188.128
,,,105,2100,35.0,40.0,28.671,26.941,138.022,195.938
,,,115,2300,38.3,43.3,28.831,24.988,132.89,183.249
,,,130,2600,43.3,48.3,27.317,24.674,119.892,173.465
,,,142,2840,47.3,52.3,26.315,25.523,127.251,180.345
,,,152,3040,50.7,55.7,26.996,24.475,124.262,182.263
,,,162,3240,54.0,59.0,27.195,24.211,125.108,179.274
,,,171,3420,57.0,62.0,25.831,24.599,119.666,173.071
H26,10,mo,1,20,0.3,10.3,24.599,22.482,128.318,326.859
,,,10,200,3.3,13.3,27.595,23.59,145.937,345.202
,,,20,400,6.7,16.7,29.916,25.626,169.075,387.185
,,,30,600,10.0,20.0,34.132,26.645,195.34,418.966
,,,41,820,13.7,23.7,35.245,31.18,228.676,442.605
,,,50,1000,16.7,26.7,37.066,33.941,237.569,440.291
,,,60,1200,20.0,30.0,38.769,34.38,237.541,438.814
,,,70,1400,23.3,33.3,38.115,35.726,238.712,409.208
,,,84,1680,28.0,38.0,37.35,33.543,230.014,417.822
