ID,dissection_time,treatment,frame,seconds,time (min),time in min,fw length (mm),hw length (mm),fw area,hw area
H14,5,diwater,1,20,0.3,5.3,25.192,21.523,93.716,138.042
,,,10,200,3.3,8.3,24.184,21.716,96.059,143.51
,,,20,400,6.7,11.7,24.747,21.76,94.989,145.854
,,,30,600,10.0,15.0,24.963,22.477,92.761,145.68
,,,40,800,13.3,18.3,24.558,22.357,97.766,148.603
,,,50,1000,16.7,21.7,24.99,22.776,100.226,150.339
,,,61,1220,20.3,25.3,27.295,23.295,108.067,151.091
,,,71,1420,23.7,28.7,26.902,23.294,111.741,146.346
,,,81,1620,27.0,32.0,29.498,23.706,124.096,153.492
,,,91,1820,30.3,35.3,30.391,23.417,121.058,154.65
,,,105,2100,35.0,40.0,33.51,24.925,134.686,160.436
,,,115,2300,38.3,43.3,33.436,25.354,137.897,163.851
,,,125,2500,41.7,46.7,33.395,25.302,142.874,168.943
,,,140,2800,46.7,51.7,34.894,25.959,142.179,170.968
,,,155,3100,51.7,56.7,34.843,27.382,154.997,177.044
H15,5,diwater,1,20,0.3,5.3,29.681,23.152,165.297,174.209
,,,11,220,3.7,8.7,30.091,23.152,172.415,177.073
,,,21,420,7.0,12.0,30.135,23.236,183.786,175.713
,,,31,620,10.3,15.3,31.133,24.038,189.862,180.343
,,,41,820,13.7,18.7,33.156,24.826,201.204,187.171
,,,51,1020,17.0,22.0,34.117,25.633,203.547,189.804
,,,61,1220,20.3,25.3,35.643,26.868,218.275,194.144
,,,72,1440,24.0,29.0,37.607,27.698,228.141,197.963
,,,82,1640,27.3,32.3,38.647,28.961,229.096,202.853
,,,92,1840,30.7,35.7,39.872,30.039,234.738,203.866
,,,102,2040,34.0,39.0,40.883,30.978,236.242,213.529
,,,112,2240,37.3,42.3,41.425,31.594,236.937,215.265
H30,5,diwater,1,20,0.3,5.3,22.777,16.689,94.86,79.684
,,,20,400,6.7,11.7,23.131,17.195,101.739,90.878
,,,40,800,13.3,18.3,22.172,16.738,101.89,93.865
,,,60,1200,20.0,25.0,24.169,16.874,103.972,94.589
,,,81,1620,27.0,32.0,25.438,17.347,112.601,103.037
,,,100,2000,33.3,38.3,25.967,18.222,115.709,105.481
,,,120,2400,40.0,45.0,26.425,18.745,118.093,110.188
,,,140,2800,46.7,51.7,27.531,19.667,118.002,114.864
,,,160,3200,53.3,58.3,27.118,19.431,117.338,111.153
H31,5,diwater,1,20,0.3,5.3,28.421,23.085,157.553,174.262
,,,20,400,6.7,11.7,28.138,23.09,163.544,171.074
,,,40,800,13.3,18.3,29.294,22.748,160.301,168.243
,,,59,1180,19.7,24.7,31.254,22.094,168.738,170.167
,,,80,1600,26.7,31.7,33.193,23.85,176.405,176.433
,,,100,2000,33.3,38.3,33.513,24.527,187.535,180.473
,,,120,2400,40.0,45.0,35.641,24.187,190.009,184.732
,,,140,2800,46.7,51.7,35.412,25.838,191.191,182.919
,,,160,3200,53.3,58.3,35.333,25.637,186.216,184.595
